g_loss,d_loss,wasserstein
-1.38870616663586,-0.989380579103123,1.0719545862891457
-0.40017602389509027,-1.009612879969857,1.1029536778276616
-0.7361584427681837,-0.9957279454578053,1.0694378776983782
-0.3515477857806466,-0.6804963763464581,0.7765926745804873
-0.6914381818337874,-0.7724235247481953,0.8523563038219105
-0.6919582919640974,-0.6687132865190506,0.7617633288556879
-1.0559681545604358,-0.7695186598734423,0.8618340600620616
-1.4905311356891284,-0.8144019029357217,0.9166504307226702
-0.5116624744101004,-0.7955683469772339,0.8644512458281084
-1.076905440200459,-0.6796155138449236,0.7836207910017534
-0.917744595896114,-0.9805360978299921,1.0840920318256726
-0.9539058404889974,-0.9291189042004672,1.0583831722086126
-0.8565249578519301,-0.9013572335243225,0.9803313287821683
-1.405933510173451,-0.7282163880088113,0.8326553160494025
-0.8246399746699766,-1.0688276236707515,1.2056760625405745
-1.3350424012169242,-0.9859219897877086,1.1625417200001804
-1.6326751058751887,-1.0732478282668374,1.1866967190395703
-0.6892823305996981,-0.7834546234120022,0.9099246155131947
-1.0939610106023876,-0.8553274531256069,0.9318155212835832
-1.011693455956199,-0.8378016596490686,0.9530907733873888
-1.4361996261233634,-0.46913605386560614,0.5454380512237549
-1.1830281202088704,-0.8182096508416262,0.899201133034446
-0.8837042545730417,-0.7855962785807523,0.8828815005042336
-2.4058887606317345,-0.6456483548337763,0.7536124641245062
-0.2538883523507552,-0.6643515865911137,0.7597590413960543
-2.0571547489274633,-0.9012643681331114,0.9957032068209215
-0.8136296692219648,-0.7707351554523815,0.8653561635450884
-1.6541696028275923,-0.8603174930269067,0.9746493859724565
-1.3642296323722058,-0.8685364872217178,1.0013542500409214
-1.7611110372976824,-0.5932787988673557,0.6717502962459218
-1.2889550165696577,-1.1695758402347565,1.289768858389421
-1.0394469052553177,-0.9483875618739561,1.039264288815585
-1.23771209879355,-0.9497105533426459,1.0743350711735813
-1.147980672391978,-0.9604923135854981,1.0624904117800973
-1.3321251273155212,-1.2344221581112256,1.4871598157015713
-1.8430011001500217,-0.8035570586269553,0.9187786904248324
0.7082558619705114,-0.8305274573239413,0.9370426914908669
-2.9260932315479624,-0.5682872411879626,0.6966326331550424
-0.6773698953065005,-0.9689921492880041,1.0662943178957158
-1.1837136095220393,-0.7046477523717013,0.8243907500397075
-1.914631125601855,-0.6936082541942596,0.8119966658678922
0.18452392518520355,-0.6969664719971743,0.7857127948240801
-1.5018669068813324,-0.7853669144890525,0.8704422766512091
-1.4864615256136113,-0.6464501585472714,0.7337299720807509
-2.2314619378567757,-0.9516634304415096,1.0472370061007412
-0.830218564380299,-0.7015239609913393,0.7708408724177968
-1.881086991591887,-0.8537886982614343,0.9855986643921245
-1.3771307383748619,-0.5869875956665386,0.6847664226185192
-1.3266875418749722,-0.7505068778991699,0.8350973671132867
-0.7555823000994596,-0.7914543449878693,0.8851961358027025
-3.1713360703804274,-0.7867868596857245,0.8781826550310309
-0.3957329473712228,-0.7403959875757044,0.8437973680821332
-1.6014434803615918,-0.7319506339051507,0.8377912884408777
-2.4592733599922876,-0.7991956953297962,0.8773726224899292
-0.5435713475400751,-0.819611286575144,0.9316808445887133
-1.4456131945956836,-1.0501489259979941,1.1791975064711138
-1.9194725372574546,-0.7124345979907296,0.8246760856021534
0.01830579408190467,-0.8459342501380227,0.960713348605416
-2.1794098073785957,-0.8564450198953802,0.9471958713098005
-1.0929968045516447,-0.7159046192060817,0.8227179809050127
-1.1187633899125187,-0.9225490228696303,1.042599618434906
-2.509340451522307,-0.8966211405667391,0.9857997135682539
-0.7197631346908483,-0.866789466955445,0.9785761399702593
-2.038480604236776,-0.9943627742203799,1.1529673012820156
-1.070225715637207,-0.9820007167079232,1.0812433009797877
-2.0676578987728464,-0.6526570916175842,0.7969152602282438
-0.7132459878921509,-0.8927475017580119,0.9924802021546797
-1.6153286641294307,-0.6638299809260801,0.7714542042125355
-2.5701453401283785,-0.6746665239334106,0.7852814197540283
-0.9247952184893868,-0.874568757685748,0.9763051704926924
-1.3795558241280643,-0.9622516523707997,1.057798678224737
-1.7532805096019397,-1.0621618032455444,1.1927296627651562
-2.20504167675972,-0.9006388837640936,1.0022421099922874
-0.7557698759165677,-1.0172998796809802,1.1189403859051792
-2.6903468492356213,-0.8469614928418939,0.9400217099623247
-2.255919323726134,-0.8895885483785109,0.9937474836002697
-0.9938432702964003,-0.7699229730801149,0.8902795531532981
-2.013729127970609,-1.0955080742185765,1.2117042216387661
-0.8473874195055529,-0.9054162813858553,1.0021322586319663
-2.56080302325162,-0.6313416429541328,0.7260169657793912
-1.4732279415157707,-0.8079072291200812,0.9059840494936163
-1.6363761668855494,-0.8174001276493073,0.9199306748130105
-2.0108319358392195,-0.9982432316650044,1.0842045924880288
-1.7791048098694195,-0.9620277935808356,1.0731505318121477
-1.7661081931807778,-0.8302647796544161,0.9405332018028606
-2.132949536496943,-0.8901235867630352,0.990344069220803
-1.260959973389452,-0.9964663277972828,1.0983109745112332
-1.7911161428148097,-1.0162559964440085,1.1566662246530706
-1.277917975729162,-0.6916813647205179,0.8176583376797762
-2.183084645054557,-1.1491301493211226,1.2332368059591814
-1.4380030686205083,-0.9697868878191168,1.1129984584721653
-2.2708398537202314,-0.7958132218230854,0.9316097010265697
-2.5479665506969797,-0.8255979120731354,0.9264130213043906
-0.8810483853925358,-1.039600597186522,1.170309381051497
-2.3253366405313667,-0.7420817762613297,0.8519124551252886
-1.7859598235650496,-0.9325850172476335,1.0640020912343806
-0.8646831404079091,-0.6815260919657621,0.8060717650435187
-2.8133036114952783,-0.8808599060231989,1.080770579251376
-1.0000270036133854,-0.9780442335388877,1.0763045170090415
-2.533741056919098,-0.7649340981786902,0.8874077688563954
-1.4441876167600805,-0.8051359165798534,0.9525677290829745
-2.251485672864047,-0.7639113204045729,0.8643158890984275
-1.2923586869781667,-0.9102312109687112,1.0208184068853206
-1.8096190176226876,-0.8740545592524789,0.9968276782469316
-2.039146611636335,-0.7812428853728555,0.8978109793229536
-1.5400868816809221,-0.9610298655249856,1.094544161449779
-1.653344135392796,-0.6915575381029736,0.7976631142876365
-2.3813246380199087,-1.015664447437633,1.1425582062114368
-2.1441318446939643,-0.8007272265174172,0.9372005354274403
-1.7369288477030667,-0.873162264173681,1.0378887761722912
-1.0179689905860207,-0.8310159661553123,0.9556426785208962
-3.3373810161243784,-1.0665200867436149,1.2206364544955166
-1.0754469768567518,-1.1807311800393192,1.350727839903398
-1.7705989127809352,-1.0304245298559016,1.1338094147768887
-1.815465352751992,-0.8637100837447427,0.963074494491924
-2.5299067713997583,-0.8853088644417849,0.9706825343045321
-2.216825945810838,-0.936964056708596,1.0512498833916404
-2.1410606611858713,-0.8304768123409965,0.917938460003246
-1.4761951809579676,-0.9027747701514851,1.0275395458394831
-1.9244373088533229,-1.0105310705575077,1.1298426281322131
-1.2758020474152132,-0.8230443569746885,0.9391299702904441
-3.2919328971342607,-1.041360921480439,1.324310671199452
-0.6410386250777678,-0.7103529856963591,0.8284395120360635
-2.502556172284213,-1.0468808832493695,1.2124838612296365
-2.380030480298129,-1.0347044467926025,1.1702151623639194
-1.4804839884692973,-0.7738109014251016,0.8966655243526805
-2.184069909832694,-0.9463641372593966,1.0826542377471924
